,18.4 Beta,JavaScript,Fixed a rounding error for Intl.DurationFormat.  (138261569),,https://bugs.webkit.org/buglist.cgi?content=138261569
,18.4 Beta,JavaScript,Fixed calendar canonicalization logic in DateTimeFormat.  (141792829),,https://bugs.webkit.org/buglist.cgi?content=141792829
,18.4 Beta,JavaScript,"Fixed broken output for Intl.DurationFormat digital style when hoursDisplay is ""auto"".  (141969050)",,https://bugs.webkit.org/buglist.cgi?content=141969050
,18.4 Beta,JavaScript,Fixed Intl.DurationFormat to print a negative sign for minutes after hidden hours.  (142119353),,https://bugs.webkit.org/buglist.cgi?content=142119353
,18.4 Beta,JavaScript,Fixed Array.prototype.toReversed to fill holes with undefined.  (142197604),,https://bugs.webkit.org/buglist.cgi?content=142197604
,18.4 Beta,JavaScript,"Fixed: Increased the matchLimit for regular expressions, allowing complex matches on longer strings.  (143202375)",,https://bugs.webkit.org/buglist.cgi?content=143202375
,18.4 Beta,JavaScript,Removed obsoleted methods for Temporal.PlainTime and Temporal.PlainDateTime to align with specification changes.  (135509670),,https://bugs.webkit.org/buglist.cgi?content=135509670
,18.4 Beta,Loading,Added noopener-allow-popups support in Cross-Origin-Opener-Policy.  (129664445),,https://bugs.webkit.org/buglist.cgi?content=129664445
,18.4 Beta,Lockdown Mode,Enabled Lockdown Mode Safe Fonts to try parsing web fonts with a safe font parser in Lockdown Mode. While the safe parser is enabled the list of allowed fonts won’t be used.   (125621507),,https://bugs.webkit.org/buglist.cgi?content=125621507
,18.4 Beta,Media,Added support for Ogg Opus and Ogg Vorbis.  (131407707),,https://bugs.webkit.org/buglist.cgi?content=131407707
,18.4 Beta,Media,Added support for the Image Capture API.  (136860809),,https://bugs.webkit.org/buglist.cgi?content=136860809
,18.4 Beta,Media,Added WebM support to MediaRecorder.  (137560454),,https://bugs.webkit.org/buglist.cgi?content=137560454
,18.4 Beta,Media,Fixed handling an empty srcAttr in Media Element.  (132042925),,https://bugs.webkit.org/buglist.cgi?content=132042925
,18.4 Beta,Media,Fixed getUserMedia video track getSettings() returning a stale value for torch and whiteBalanceMode constraints.  (137870391),,https://bugs.webkit.org/buglist.cgi?content=137870391
,18.4 Beta,Media,Fixed the space key not pausing a video in fullscreen by making the video mouse focusable.  (138037616),,https://bugs.webkit.org/buglist.cgi?content=138037616
,18.4 Beta,Media,Fixed an issue where playback doesn’t always resume after a seek.  (140097993),,https://bugs.webkit.org/buglist.cgi?content=140097993
,18.4 Beta,Media,Fixed playing video generating non-monotonic ‘timeupdate’ events.  (142275184) (FB16222910),,https://bugs.webkit.org/buglist.cgi?content=142275184
,18.4 Beta,Media,Fixed websites calling play() during a seek() is allowed by the specification so that the play event is fired even if the seek hasn’t completed.  (142517488),,https://bugs.webkit.org/buglist.cgi?content=142517488
,18.4 Beta,Media,Fixed seek not completing for WebM under some circumstances.  (143372794),,https://bugs.webkit.org/buglist.cgi?content=143372794
,18.4 Beta,Media,Fixed MediaRecorderPrivateEncoder writing frames out of order.  (143956063),,https://bugs.webkit.org/buglist.cgi?content=143956063
,18.4 Beta,Networking,Added support for Cookies Having Independent Partitioned State (CHIPS).  (116143212),,https://bugs.webkit.org/buglist.cgi?content=116143212
,18.4 Beta,Networking,Added support for cookies’ Partitioned attribute (opt-in partitioned cookies).  (142317056),,https://bugs.webkit.org/buglist.cgi?content=142317056
,18.4 Beta,Networking,Blocked partitioned cookies for known tracking domains.  (144184516),,https://bugs.webkit.org/buglist.cgi?content=144184516
,18.4 Beta,Networking,Fixed optimistically upgraded navigations to set a timeout based on current network conditions.  (135972599),,https://bugs.webkit.org/buglist.cgi?content=135972599
,18.4 Beta,Networking,Changed 3DES cipher to show a warning to users that it is a legacy TLS cipher.  (138948491),,https://bugs.webkit.org/buglist.cgi?content=138948491
,18.4 Beta,PDF,"Fixed switching a PDF from continuous to discrete mode displaying the page(s) that are at the top of the window, even when barely visible.  (137608841)",,https://bugs.webkit.org/buglist.cgi?content=137608841
,18.4 Beta,PDF,Fixed the “Previous Page” context menu option not navigating to previous page in 2-up continuous mode.  (139817364),,https://bugs.webkit.org/buglist.cgi?content=139817364
,18.4 Beta,PDF,Fixed main frame PDFs served with a CSP sandbox header not loading.  (141166987),,https://bugs.webkit.org/buglist.cgi?content=141166987
,18.4 Beta,Rendering,Fixed computing the baseline for replaced elements with an intrinsic ratio but no intrinsic size as flex items.  (74279029),,https://bugs.webkit.org/buglist.cgi?content=74279029
,18.4 Beta,Rendering,Fixed flickering caused by extra resize events dispatched when rotating from landscape to portrait on iOS.  (93767145),,https://bugs.webkit.org/buglist.cgi?content=93767145
,18.4 Beta,Rendering,"Fixed adding out-of-flow objects under the inline in a continuation chain, when possible.  (102421379)",,https://bugs.webkit.org/buglist.cgi?content=102421379
,18.4 Beta,Rendering,Fixed mix-blend-mode to work for large resolution fixed or stick elements.  (104686540),,https://bugs.webkit.org/buglist.cgi?content=104686540
,18.4 Beta,Rendering,"Fixed the missing table collapsed border for <thead>, <tbody>, and <tfoot> elements in the wrong order.  (110430887)",,https://bugs.webkit.org/buglist.cgi?content=110430887
,18.4 Beta,Rendering,Fixed handling inline-box trailing content.  (112409103),,https://bugs.webkit.org/buglist.cgi?content=112409103
,18.4 Beta,Rendering,"Fixed <input type=""range""> taking up space even with width: 0 applied.  (113402515)",,https://bugs.webkit.org/buglist.cgi?content=113402515
,18.4 Beta,Rendering,Fixed the Spotify media player disappearing when rotating to landscape mode on iOS.  (123870311),,https://bugs.webkit.org/buglist.cgi?content=123870311
,18.4 Beta,Rendering,Fixed textarea elements to reserve space for overlay scrollbars.  (129597865),,https://bugs.webkit.org/buglist.cgi?content=129597865
,18.4 Beta,Rendering,"Fixed grid layout animation performance by caching intrinsic logical heights during the first row sizing pass, improving efficiency and preventing invalidation issues with complex grid configurations.  (135791322)",,https://bugs.webkit.org/buglist.cgi?content=135791322
,18.4 Beta,Rendering,Fixed Grid item which is an image with specified sizes failing to update when the src changes.  (135972911),,https://bugs.webkit.org/buglist.cgi?content=135972911
,18.4 Beta,Rendering,Fixed nested inlines’ vertical alignment when line-fit-edge is set.  (136036997),,https://bugs.webkit.org/buglist.cgi?content=136036997
,18.4 Beta,Rendering,"Fixed the consistency of table layout with <td width=""100%"">.  (136090741)",,https://bugs.webkit.org/buglist.cgi?content=136090741
,18.4 Beta,Rendering,Fixed repainting to be more consistent for text-underline-position.  (136095297),,https://bugs.webkit.org/buglist.cgi?content=136095297
,18.4 Beta,Rendering,Fixed floats not clearing in the WordPress Classic Editor sidebar layout.  (136362683),,https://bugs.webkit.org/buglist.cgi?content=136362683
,18.4 Beta,Rendering,Fixed handling of out-of-flow children in MathML layout functions to be consistent.  (136683070),,https://bugs.webkit.org/buglist.cgi?content=136683070
,18.4 Beta,Rendering,Fixed a repeating background-image sized to the content-box failing to fill the viewport in an iframe.  (136725820),,https://bugs.webkit.org/buglist.cgi?content=136725820
,18.4 Beta,Rendering,Fixed consistently triggering a reflow when needed for table DOM manipulations.  (137300794),,https://bugs.webkit.org/buglist.cgi?content=137300794
,18.4 Beta,Rendering,Fixed scriptlevel multipler for font-size in MathML.  (137671252),,https://bugs.webkit.org/buglist.cgi?content=137671252
,18.4 Beta,Rendering,Fixed inline marquees to allow them to shrink when adjacent to float(s).  (137766071),,https://bugs.webkit.org/buglist.cgi?content=137766071
,18.4 Beta,Rendering,Fixed a flex container with no flex item to not run flex layout.  (137884128),,https://bugs.webkit.org/buglist.cgi?content=137884128
,18.4 Beta,Rendering,Fixed support for CSS width and height properties on MathML elements.  (138174295),,https://bugs.webkit.org/buglist.cgi?content=138174295
,18.4 Beta,Rendering,Fixed Inline content incorrectly positioning around right-to-left and/or vertical shape-outside floats.  (139076129),,https://bugs.webkit.org/buglist.cgi?content=139076129
,18.4 Beta,Rendering,Fixed incorrectly overlapping when a float has shape-outside: inset.  (139133291),,https://bugs.webkit.org/buglist.cgi?content=139133291
,18.4 Beta,Rendering,Fixed right-to-left content failing with a shape-outside float.  (139198865),,https://bugs.webkit.org/buglist.cgi?content=139198865
,18.4 Beta,Rendering,Fixed incorrectly overlapping a float that has shape-outside: ellipse in vertical mode.  (139208636),,https://bugs.webkit.org/buglist.cgi?content=139208636
,18.4 Beta,Rendering,Fixed incorrectly overlapping a float that has shape-outside: polygon in right-to-left.  (139215719),,https://bugs.webkit.org/buglist.cgi?content=139215719
,18.4 Beta,Rendering,Fixed outside list-style-position quirk to only be applicable in quirks mode.  (140602985),,https://bugs.webkit.org/buglist.cgi?content=140602985
,18.4 Beta,Rendering,Fixed: Updated line box dimensions.  (141167251),,https://bugs.webkit.org/buglist.cgi?content=141167251
,18.4 Beta,Rendering,Fixed incorrect horizontal writing mode state when nested in a vertical block container.  (141543326),,https://bugs.webkit.org/buglist.cgi?content=141543326
,18.4 Beta,Rendering,Fixed baseline calculation few cases for tables with empty rows.  (142046863),,https://bugs.webkit.org/buglist.cgi?content=142046863
,18.4 Beta,Rendering,Fixed to refuse to break inside replaced content.  (142224455),,https://bugs.webkit.org/buglist.cgi?content=142224455
,18.4 Beta,Rendering,Fixed absolute positioned child with percent to include containing block padding.  (142321535),,https://bugs.webkit.org/buglist.cgi?content=142321535
,18.4 Beta,Rendering,Fixed computing an out-of-flow box width correctly when it is inside an inline continuation.  (142417374),,https://bugs.webkit.org/buglist.cgi?content=142417374
,18.4 Beta,Rendering,Fixed a border not showing when a linear gradient and a border radius are set.  (142617573),,https://bugs.webkit.org/buglist.cgi?content=142617573
,18.4 Beta,Rendering,Fixed relative-positioned input elements in scroll areas not rendering outlines.  (142995142),,https://bugs.webkit.org/buglist.cgi?content=142995142
,18.4 Beta,Rendering,Fixed tabbing out of a popover causing a hang in certain cases.  (143145544),,https://bugs.webkit.org/buglist.cgi?content=143145544
,18.4 Beta,Rendering,Fixed setting up inline continuations correctly when not inserting a new child.  (143388080),,https://bugs.webkit.org/buglist.cgi?content=143388080
,18.4 Beta,Rendering,Fixed adding a margin-top to a <rt> also adds a bottom margin.  (143720832),,https://bugs.webkit.org/buglist.cgi?content=143720832
,18.4 Beta,Rendering,Removed legacy behavior where baseline aligned content stretches a table row.  (137281319),,https://bugs.webkit.org/buglist.cgi?content=137281319
,18.4 Beta,Scrolling,Added support for Scroll To Text Fragment feature detection with document.fragmentDirective.  (139631353),,https://bugs.webkit.org/buglist.cgi?content=139631353
,18.4 Beta,Scrolling,Fixed changes to the “scrolling” attribute on an iframe element already in the DOM to take effect.  (98911472),,https://bugs.webkit.org/buglist.cgi?content=98911472
,18.4 Beta,Security,"Added support for CSP Hash Reporting keywords: report-sha256, report-sha384, and report-sha512.  (142458671)",,https://bugs.webkit.org/buglist.cgi?content=142458671
,18.4 Beta,Security,Removed support for Clear-Site-Data: * for executionContexts as Safari was the only browser to ship it.  (120821984),,https://bugs.webkit.org/buglist.cgi?content=120821984
,18.4 Beta,Service Workers,Fixed handling the case of busy looping service workers in a process containing web pages.  (138626537),,https://bugs.webkit.org/buglist.cgi?content=138626537
,18.4 Beta,Spatial Web,Added support behind a feature flag for the controls attribute on <img> elements for spatial images in visionOS.  (129784451),,https://bugs.webkit.org/buglist.cgi?content=129784451
,18.4 Beta,Spatial Web,Added support for Writing Tools in visionOS.  (135210076),,https://bugs.webkit.org/buglist.cgi?content=135210076
,18.4 Beta,Storage,Added support for partitioned cookies in Clear-Site-Data: Cookies.  (140403030),,https://bugs.webkit.org/buglist.cgi?content=140403030
,18.4 Beta,Storage,"Fixed the Storage Access API to consider AllExceptPartitioned as not currently having cookie access, ensuring sites can request access to first-party cookie.  (143508260)",,https://bugs.webkit.org/buglist.cgi?content=143508260
,18.4 Beta,SVG,Added support for SVGImageElement.prototype.decode().  (135404215),,https://bugs.webkit.org/buglist.cgi?content=135404215
,18.4 Beta,SVG,Added support for the lh length type.  (142068343),,https://bugs.webkit.org/buglist.cgi?content=142068343
,18.4 Beta,SVG,"Added support for the ch length type for character width, but does not include support for upright vertical character width.  (142463263)",,https://bugs.webkit.org/buglist.cgi?content=142463263
,18.4 Beta,SVG,Fixed not scaling SVGs with ⌘+ (Command+) or ⌘- (Command-) zoom when font-size is used.  (52471025),,https://bugs.webkit.org/buglist.cgi?content=52471025
,18.4 Beta,SVG,Fixed not propagating bbox for empty text to ancestors.  (115217040),,https://bugs.webkit.org/buglist.cgi?content=115217040
,18.4 Beta,SVG,Fixed SVG masks not working as a mask-image.  (127327715),,https://bugs.webkit.org/buglist.cgi?content=127327715
,18.4 Beta,SVG,"Fixed a bug in case of reference elements (e.g., textPath) unable to notify the referring element (e.g, text) about their availability.  (135509733)",,https://bugs.webkit.org/buglist.cgi?content=135509733
,18.4 Beta,SVG,Fixed SVGUseElement to prevent sniffing the content type when loading an external document.  (135972621),,https://bugs.webkit.org/buglist.cgi?content=135972621
,18.4 Beta,SVG,Fixed vertical writing modes to se the correct bounding rect.  (135973175),,https://bugs.webkit.org/buglist.cgi?content=135973175
,18.4 Beta,SVG,Fixed: Updated getTotalLength() with the web specification to throw an exception when non-renderable and the path is empty.  (136719548),,https://bugs.webkit.org/buglist.cgi?content=136719548
,18.4 Beta,SVG,Fixed SVG quadratic curve getting incorrectly clipped at tile boundaries.  (139904014),,https://bugs.webkit.org/buglist.cgi?content=139904014
,18.4 Beta,SVG,Fixed dynamically updating the transform attribute.  (140761655),,https://bugs.webkit.org/buglist.cgi?content=140761655
,18.4 Beta,SVG,Fixed synthesizing a viewBox in <img> only for the document element <svg>.  (141733733),,https://bugs.webkit.org/buglist.cgi?content=141733733
